P_bar,T_C,Z,V_m3_per_kmol,H_J_per_mol,S_J_per_mol_K
80,75,0.9757208558405359,0.35304997544968575,956.435465198732,-33.100342497457085
80,100,0.9858598907763889,0.3823339308859926,1772.2448079329552,-30.837260826843323
80,125,0.9934984090662059,0.4111100504238785,2582.1079382016933,-28.73646794160884
80,150,0.9993205110574708,0.43948427935055123,3388.7822261709853,-26.77145132589824
90,-100,0.4442843836682346,0.07106818428412066,-6785.051044011457,-66.85569869254479
90,-75,0.685176820670869,0.1254262433214848,-4827.9513846159525,-56.2074728294262
90,-50,0.8002275329450399,0.16496889165820489,-3617.6680376776044,-50.440773965593024
90,-25,0.866859548847407,0.1987260007321319,-2602.505176304268,-46.124347450233124
90,0,0.90963567527536,0.22954105068284222,-1673.2343692448928,-42.55453634217562
90,25,0.9387440458602607,0.2585673501647422,-790.9974939681504,-39.46312572876964
90,50,0.9593247897165849,0.2863924093009908,62.723306395592886,-36.71298167294749
90,75,0.974278271454394,0.31335822035500654,898.3267795765054,-34.22205524482276
90,100,0.9853654574063788,0.3396819385474195,1722.3013382994995,-31.936299655228254
90,125,0.993713152800328,0.3655101435283642,2538.999879311531,-29.817760056279823
90,150,1.0000717564565522,0.39094636834343166,3351.4965159792982,-27.83854968181554
100,-100,0.4296220873227036,0.061850509531886894,-7091.909916258421,-69.00941035493229
100,-75,0.6610626316818464,0.10891078038774961,-5051.503083966283,-57.9251849118038
100,-50,0.7850269434338247,0.14565172716957836,-3771.275517442131,-51.82346174056172
100,-25,0.8571060597445512,0.17684102772416252,-2720.026279303424,-47.35303601316338
100,0,0.9033551963432424,0.20516058889301667,-1767.9073335094736,-43.69522762493564
100,25,0.9348062670803762,0.2317344567095266,-869.4786864263874,-40.54697102756062
100,50,0.9570318020694291,0.2571370841860305,-3.48002001699615,-37.75721590748396
100,75,0.9731733385116584,0.2817025555727029,841.8566283015734,-35.23723943161699
100,100,0.9851364648252658,0.30564269878889366,1673.7915857340452,-32.92937862033649
100,125,0.9941396591082055,0.3291003199640686,2497.152173590537,-30.793542398927045
100,150,1.0009939805574135,0.35217619437351044,3315.323442427951,-28.800498377167617
