main_i,main_j,a_ij,b_ij,c_ij
15,2,-124.32,0.0,0.0
15,3,105.63,-0.6067,0.0
15,4,-316.22,0.0,0.0
15,5,-660.2,1.743,0.0
15,6,-278.09,-0.3989,0.0
15,7,-851.0,1.034,0.0
15,9,119.5,0.0,0.0
15,11,3329.0,-13.78,0.0119
15,14,-1074.0,9.0,-0.018
15,16,402.6,-1.614,0.0
15,19,242.2,0.0,0.0
15,24,-3.28,0.0,0.0
15,25,3888.0,-16.26,0.0
15,38,-330.2,0.0,0.0
15,39,-88.4923,0.0,0.0
15,42,-131.9,-0.0074,0.0
15,43,-186.98,0.0,0.0
15,47,444.6679,0.8351,0.0
16,1,205.65,-1.4436,0.0
16,2,-131.5,0.0,0.0
16,3,16.29,-0.6022,0.0
16,4,978.3,-6.481,0.00709
16,5,1876.0,11.5,0.09
16,6,39.33,-3.354,0.00671
16,7,-446.0,-0.7738,0.00263
16,9,2831.0,-13.01,0.0156
16,11,160.8,0.8719,0.0
16,14,836.6,-5.208,0.0048
16,15,-639.9,2.561,0.0
16,22,-473.0,0.8883,0.0
16,24,215.9,-1.399,0.0
16,25,1622.0,-4.812,-0.0186
16,39,965.0,0.0,0.0
16,45,-420.24,0.2632,0.0
16,47,-729.5023,6.2811,0.0
16,48,2111.2449,0.0,0.0
17,1,2257.3,-5.6676,0.0
17,2,3982.0,-19.72,0.0278
17,3,154.39,1.2458,0.0
17,4,3969.0,8.497,-0.00595
17,5,1325.0,-6.263,0.00758
17,6,251.2,-1.274,0.00221
17,7,-131.0,-0.7957,0.0
17,8,-131.1,-0.9399,0.000469
17,9,1460.0,-13.73,0.0292
17,11,3499.0,-22.96,0.0354
17,18,74.285,14.613,-0.0283
17,19,393.9,-4.703,0.009
17,21,582.1,-2.33,0.000377
17,24,3986.0,-16.15,0.0164
17,25,3709.2,0.0,0.0
17,27,3770.0,1.686,0.0
17,31,1268.0,-3.042,0.0
17,39,-391.9,0.0,0.0
17,42,1371.0,-3.323,0.0
17,47,1271.42,-6.4373,0.00645
18,1,-436.15,3.4225,-0.0087
18,2,-13.317,0.0,0.0
18,3,1810.78,-5.7594,0.0023
18,4,1698.1,-9.8887,0.0153
18,5,-703.51,2.0368,-0.000366
